time	V(vout)
Step Information: X=100n Y=1K  (Run: 1/6)
2.134223957357831e-003	7.391753e-001
2.145942707357831e-003	7.680197e-001
2.157661457357832e-003	7.936742e-001
2.169380207357832e-003	8.164915e-001
2.181098957357833e-003	8.367856e-001
2.192817707357833e-003	8.548353e-001
2.204536457357834e-003	8.708889e-001
2.216255207357834e-003	8.851672e-001
2.227973957357834e-003	8.978664e-001
2.239692707357835e-003	9.091613e-001
2.251411457357835e-003	9.192070e-001
2.263130207357836e-003	9.281418e-001
2.274848957357836e-003	9.360886e-001
2.286567707357837e-003	9.431565e-001
2.298286457357837e-003	9.494427e-001
2.310005207357838e-003	9.550338e-001
2.321723957357838e-003	9.600066e-001
2.333442707357838e-003	9.644294e-001
2.345161457357839e-003	9.683632e-001
2.356880207357839e-003	9.718618e-001
2.368598957357840e-003	9.749736e-001
2.380317707357840e-003	9.777412e-001
2.392036457357841e-003	9.802029e-001
2.403755207357841e-003	9.823922e-001
2.415473957357842e-003	9.843394e-001
2.427192707357842e-003	9.860713e-001
2.438911457357842e-003	9.876117e-001
2.450630207357843e-003	9.889817e-001
2.462348957357843e-003	9.902002e-001
2.476997394857844e-003	9.915356e-001
2.491645832357844e-003	9.926891e-001
2.501000000000000e-003	9.933434e-001
2.501600000000001e-003	9.912393e-001
2.502000000000000e-003	9.883776e-001
2.515869062499997e-003	8.605580e-001
2.527587812499998e-003	7.653897e-001
2.539306562499998e-003	6.807460e-001
2.551025312499999e-003	6.054629e-001
2.562744062499999e-003	5.385053e-001
2.574462812500000e-003	4.789526e-001
2.586181562500000e-003	4.259856e-001
2.597900312500001e-003	3.788763e-001
2.609619062500001e-003	3.369767e-001
2.621337812500001e-003	2.997108e-001
2.633056562500002e-003	2.665661e-001
2.644775312500002e-003	2.370868e-001
2.656494062500003e-003	2.108676e-001
2.668212812500003e-003	1.875479e-001
2.679931562500004e-003	1.668072e-001
2.691650312500004e-003	1.483601e-001
2.703369062500005e-003	1.319531e-001
2.715087812500005e-003	1.173606e-001
2.718017500000005e-003	1.139719e-001
2.729736250000006e-003	1.013679e-001
2.741455000000006e-003	9.015769e-002
2.753173750000006e-003	8.018723e-002
2.764892500000007e-003	7.131940e-002
2.776611250000007e-003	6.343226e-002
2.788330000000008e-003	5.641735e-002
2.800048750000008e-003	5.017820e-002
2.811767500000009e-003	4.462904e-002
2.823486250000009e-003	3.969356e-002
2.835205000000010e-003	3.530389e-002
2.846923750000010e-003	3.139967e-002
2.858642500000010e-003	2.792721e-002
2.870361250000011e-003	2.483876e-002
